pressure[Pa] solidus[K] liquidus[K]
3.2329e+10 2.8974e+03 3.1834e+03
3.2394e+10 2.8993e+03 3.1866e+03
3.2459e+10 2.9012e+03 3.1899e+03
3.2524e+10 2.9031e+03 3.1931e+03
3.2590e+10 2.9049e+03 3.1964e+03
3.2655e+10 2.9068e+03 3.1996e+03
3.2720e+10 2.9087e+03 3.2028e+03
3.2785e+10 2.9105e+03 3.2061e+03
3.2850e+10 2.9123e+03 3.2093e+03
3.2915e+10 2.9142e+03 3.2125e+03
3.2981e+10 2.9160e+03 3.2157e+03
3.3046e+10 2.9178e+03 3.2189e+03
3.3111e+10 2.9196e+03 3.2222e+03
3.3176e+10 2.9214e+03 3.2254e+03
3.3241e+10 2.9232e+03 3.2286e+03
3.3307e+10 2.9250e+03 3.2318e+03
3.3372e+10 2.9267e+03 3.2350e+03
3.3437e+10 2.9285e+03 3.2382e+03
3.3502e+10 2.9302e+03 3.2413e+03
3.3567e+10 2.9320e+03 3.2445e+03
3.3632e+10 2.9337e+03 3.2477e+03
3.3698e+10 2.9354e+03 3.2509e+03
3.3763e+10 2.9372e+03 3.2541e+03
3.3828e+10 2.9389e+03 3.2572e+03
3.3893e+10 2.9406e+03 3.2604e+03
3.3958e+10 2.9423e+03 3.2636e+03
3.4024e+10 2.9440e+03 3.2667e+03
3.4089e+10 2.9456e+03 3.2699e+03
3.4154e+10 2.9473e+03 3.2730e+03
3.4219e+10 2.9490e+03 3.2762e+03
3.4284e+10 2.9507e+03 3.2793e+03
3.4349e+10 2.9523e+03 3.2825e+03
3.4415e+10 2.9540e+03 3.2856e+03
3.4480e+10 2.9556e+03 3.2887e+03
3.4545e+10 2.9572e+03 3.2918e+03
3.4610e+10 2.9589e+03 3.2950e+03
3.4675e+10 2.9605e+03 3.2981e+03
3.4740e+10 2.9621e+03 3.3012e+03
3.4806e+10 2.9637e+03 3.3043e+03
3.4871e+10 2.9653e+03 3.3074e+03
3.4936e+10 2.9669e+03 3.3105e+03
3.5001e+10 2.9685e+03 3.3136e+03
3.5066e+10 2.9701e+03 3.3167e+03
3.5132e+10 2.9717e+03 3.3198e+03
3.5197e+10 2.9733e+03 3.3229e+03
3.5262e+10 2.9748e+03 3.3260e+03
3.5327e+10 2.9764e+03 3.3291e+03
3.5392e+10 2.9779e+03 3.3322e+03
3.5457e+10 2.9795e+03 3.3352e+03
3.5523e+10 2.9810e+03 3.3383e+03
3.5588e+10 2.9826e+03 3.3414e+03
3.5653e+10 2.9841e+03 3.3444e+03
3.5718e+10 2.9856e+03 3.3475e+03
3.5783e+10 2.9872e+03 3.3505e+03
3.5849e+10 2.9887e+03 3.3536e+03
3.5914e+10 2.9902e+03 3.3566e+03
3.5979e+10 2.9917e+03 3.3597e+03
3.6044e+10 2.9932e+03 3.3627e+03
3.6109e+10 2.9947e+03 3.3658e+03
3.6174e+10 2.9962e+03 3.3688e+03
3.6240e+10 2.9977e+03 3.3718e+03
3.6305e+10 2.9992e+03 3.3748e+03
3.6370e+10 3.0007e+03 3.3779e+03
3.6435e+10 3.0021e+03 3.3809e+03
3.6500e+10 3.0036e+03 3.3839e+03
3.6565e+10 3.0051e+03 3.3869e+03
3.6631e+10 3.0065e+03 3.3899e+03
3.6696e+10 3.0080e+03 3.3929e+03
3.6761e+10 3.0095e+03 3.3959e+03
3.6826e+10 3.0109e+03 3.3989e+03
3.6891e+10 3.0123e+03 3.4019e+03
3.6957e+10 3.0138e+03 3.4049e+03
3.7022e+10 3.0152e+03 3.4079e+03
3.7087e+10 3.0166e+03 3.4108e+03
3.7152e+10 3.0181e+03 3.4138e+03
3.7217e+10 3.0195e+03 3.4168e+03
3.7282e+10 3.0209e+03 3.4198e+03
3.7348e+10 3.0223e+03 3.4227e+03
3.7413e+10 3.0237e+03 3.4257e+03
3.7478e+10 3.0251e+03 3.4286e+03
3.7543e+10 3.0266e+03 3.4316e+03
3.7608e+10 3.0279e+03 3.4345e+03
3.7674e+10 3.0293e+03 3.4375e+03
