pressure[Pa] solidus[K] liquidus[K]
8.100000000000000000e+10 3.370562395671989179e+03 3.695764028952769422e+03
8.200000000000000000e+10 3.386517708262075757e+03 3.713312499430106527e+03
8.300000000000000000e+10 3.402473019433878108e+03 3.730861180930761748e+03
8.400000000000000000e+10 3.418428331280139901e+03 3.748410076123009731e+03
8.500000000000000000e+10 3.434383645466307826e+03 3.765959186459188459e+03
8.600000000000000000e+10 3.450338961289405233e+03 3.783508508666402577e+03
8.700000000000000000e+10 3.466294279082556386e+03 3.801058043337653999e+03
8.800000000000000000e+10 3.482249599514637794e+03 3.818607791771081793e+03
8.900000000000000000e+10 3.498204923143261112e+03 3.836157755056527094e+03
9.000000000000000000e+10 3.514160251177226201e+03 3.853707931562159047e+03
9.100000000000000000e+10 3.530115584806769220e+03 3.871258322372919338e+03
9.200000000000000000e+10 3.546070923666919498e+03 3.888808928243395712e+03
9.300000000000000000e+10 3.562026263382545494e+03 3.906359750017816623e+03
9.400000000000000000e+10 3.577981602128398208e+03 3.923910786422447018e+03
9.500000000000000000e+10 3.593936939220505792e+03 3.941462037172470900e+03
9.600000000000000000e+10 3.609892274322037792e+03 3.959013503104843494e+03
9.700000000000000000e+10 3.625847607021785734e+03 3.976565185917427698e+03
9.800000000000000000e+10 3.641802937172747988e+03 3.994117085393755133e+03
9.900000000000000000e+10 3.657758263260624972e+03 4.011669201379300375e+03
1.000000000000000000e+11 3.673713584242852448e+03 4.029221534342805626e+03
1.010000000000000000e+11 3.689668901481049488e+03 4.046774085065996132e+03
1.020000000000000000e+11 3.705624216084323962e+03 4.064326852743903146e+03
1.030000000000000000e+11 3.721579529280257248e+03 4.081879837559931275e+03
1.040000000000000000e+11 3.737534842560583002e+03 4.099433040382077706e+03
1.050000000000000000e+11 3.753490157791467936e+03 4.116986461952000354e+03
1.060000000000000000e+11 3.769445475204914601e+03 4.134540100760152200e+03
1.070000000000000000e+11 3.785400795362819281e+03 4.152093956418152629e+03
1.080000000000000000e+11 3.801356119188154480e+03 4.169648028945079204e+03
1.090000000000000000e+11 3.817311446398033240e+03 4.187202318456247667e+03
1.100000000000000000e+11 3.833266776378791747e+03 4.204756825630719504e+03
1.110000000000000000e+11 3.849222108803781794e+03 4.222311548883272735e+03
1.120000000000000000e+11 3.865177443404661972e+03 4.239866485241821465e+03
1.130000000000000000e+11 3.881132778173896440e+03 4.257421633383839435e+03
1.140000000000000000e+11 3.897088111937336180e+03 4.274976991876040302e+03
1.150000000000000000e+11 3.913043443717264836e+03 4.292532560722293056e+03
1.160000000000000000e+11 3.928998772566184016e+03 4.310088342611682492e+03
1.170000000000000000e+11 3.944954097654026555e+03 4.327644336947459124e+03
1.180000000000000000e+11 3.960909419449505094e+03 4.345200544633028585e+03
1.190000000000000000e+11 3.976864739182440644e+03 4.362756966874508180e+03
1.200000000000000000e+11 3.992820056829777059e+03 4.380313605065985030e+03
1.210000000000000000e+11 4.008775373051083989e+03 4.397870460699226896e+03
1.220000000000000000e+11 4.024730688447552438e+03 4.415427532689764121e+03
1.230000000000000000e+11 4.040686003518026155e+03 4.432984820276956270e+03
1.240000000000000000e+11 4.056641318687524745e+03 4.450542323076842877e+03
1.250000000000000000e+11 4.072596635442204843e+03 4.468100040570517194e+03
1.260000000000000000e+11 4.088551954999191821e+03 4.485657972155016978e+03
1.270000000000000000e+11 4.104507277192665242e+03 4.503216117206095078e+03
1.280000000000000000e+11 4.120462601479113800e+03 4.520774473716023749e+03
1.290000000000000000e+11 4.136417927276473165e+03 4.538333041613124806e+03
1.300000000000000000e+11 4.152373253996142012e+03 4.555891821008702209e+03
1.310000000000000000e+11 4.168328581050556750e+03 4.573450812145125383e+03
1.320000000000000000e+11 4.184283907771141457e+03 4.591010015569097050e+03
1.330000000000000000e+11 4.200239233287665229e+03 4.608569430194939741e+03
1.340000000000000000e+11 4.216194556882785946e+03 4.626129054947643453e+03
1.350000000000000000e+11 4.232149877880732674e+03 4.643688889357748849e+03
