pressure[Pa]             solidus[K]               liquidus[K]
1.500000000088888550e+10 2.086219312536482903e+03 2.688792250046408299e+03
1.363636363726261902e+10 2.028780914934389784e+03 2.615457789816804507e+03
1.227272727363635254e+10 1.969822134580149850e+03 2.539920853287841055e+03
1.090909091001010132e+10 1.909291626569044411e+03 2.462116971297578857e+03
9.545454546383834839e+09 1.847137124850259170e+03 2.381980645656004981e+03
8.181818182757568359e+09 1.783305442226883315e+03 2.299445349145034015e+03
6.818181819131317139e+09 1.717742470355910427e+03 2.214443525518513525e+03
5.454545455505050659e+09 1.650393179748233933e+03 2.126906589502211773e+03
4.090909091878784180e+09 1.581201619768655064e+03 2.036764926793832046e+03
2.727272728252517700e+09 1.510110918635875578e+03 1.943947894063001741e+03
1.363636364626251221e+09 1.437063283422502764e+03 1.848383818951278727e+03
1.000000000000000000e+00 1.362000000055046485e+03 1.750000000072148168e+03
